i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
N210203-C02,2号画板鹿角,N210203-C02S06,2号画板鹿角,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210203-C03,二号画板内框,N210203-C03S06,二号画板内框,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210206-C,刺猬桌面书架,N210206-CS12,刺猬桌面书架,檀木褐,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210207-C,小狗桌面书架,N210207-CS06,小狗桌面书架,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210208-C,三号画板,N210208-CS06,三号画板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210209-C,桌面书架小挡板,N210209-CS13,桌面书架小挡板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210210-C,桌面书柜顶盖,N210210-CS13,桌面书柜顶盖,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210211-C,桌面书柜中挡板,N210211-CS06,桌面书柜中挡板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210212-C,桌面书柜门板,N210212-CS06,桌面书柜门板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210213-C,桌面书柜侧板,N210213-CS13,桌面书柜侧板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210214-C,桌面书柜底板,N210214-CS13,桌面书柜底板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210215-C,桌面书架底板,N210215-CS06,桌面书架底板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210216-C,收纳柜门板,N210216-CS06,收纳柜门板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210217-C,收纳柜封闭板,N210217-CS06,收纳柜封闭板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210303-C,粘贴式篮球架兔子篮板,N210303-CS06,粘贴式篮球架兔子篮板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210305-C01,大白兔升降滑梯侧板-A,N210305-C01S06,大白兔升降滑梯侧板-A,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210305-C02,大白兔升降滑梯侧板-B,N210305-C02S06,大白兔升降滑梯侧板-B,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210306-C01,猛犸象升降滑梯侧板-A,N210306-C01S09,猛犸象升降滑梯侧板-A,琉璃绿,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210306-C02,猛犸象升降滑梯侧板-B,N210306-C02S09,猛犸象升降滑梯侧板-B,琉璃绿,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210401-C,城堡秋千滑梯侧板,N210401-CS06,城堡秋千滑梯侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210402-C01,城堡侧扶手-A,N210402-C01S13,城堡侧扶手-A,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210402-C02,城堡侧扶手-B,N210402-C02S13,城堡侧扶手-B,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210403-C,秋千侧板,N210403-CS15,秋千侧板,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210404-C01,秋千大挂臂,N210404-C01S13,秋千大挂臂,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210404-C02,秋千小挂臂,N210404-C02S13,秋千小挂臂,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210405-C,秋千底座,N210405-CS13,秋千底座,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210407-C01,秋千顶板,N210407-C01S06,秋千顶板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210407-C02,秋千踏板,N210407-C02S06,秋千踏板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210407-C03,秋千座板,N210407-C03S06,秋千座板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210409-C,秋千收纳板,N210409-CS13,秋千收纳板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210410-C,吉普车小板,N210410-CS10,吉普车小板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210411-C,吉普车滑梯大板,N210411-CS10,吉普车滑梯大板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210412-C,公主车太空车小板,N210412-CS10,公主车太空车小板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210413-C,太空车滑梯大板,N210413-CS10,太空车滑梯大板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210414-C,吹塑摇马轮,N210414-CS05,吹塑摇马轮,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210416-C,长颈鹿马身,N210416-CS06,长颈鹿马身,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210501-Z,秋千螺丝,N210501-ZS13,秋千螺丝,暮云灰,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210502-Z,秋千定位环,N210502-ZS06,秋千定位环,玉莲白,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210504-C,雅典娜马身,N210504-CS06,雅典娜马身,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210505-C,鲸鱼三合一侧板,N210505-CS06,鲸鱼三合一侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210508-Z01,咪咪马眼眶-右,N210508-Z01S06,咪咪马眼眶-右,玉莲白,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210508-Z02,咪咪马眼眶-左,N210508-Z02S06,咪咪马眼眶-左,玉莲白,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210509-Z01,咪咪眼睛-右,N210509-Z01S28,咪咪眼睛-右,雅丹黑,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
